Name,Customer Code,National Id,PAN_Number,License Number,modified_date,Blood Group,Citizenship Number,source,Mobile Number,Father_Name,Permanent_Address,Mother Name,votersAge,votersID,Customer ID,Gender,SC Number,soup,Date of Birth,SpouseName,Temporary_Address
Aarav Adhikari,12113982,EF123G,LMNO1234PL,15-06-41273848,2024-05-30 04:25:46.413989,O+,575-80644-44438/883300,"bank, esewa, voter, electricity, license",1234567800,Rajan Bahadur Adhikari,"Birtamode, Jhapa, Nepal",Chandra Khadka,39,11113982,3255,Male,001.01.11,aaravadhikari 2000-11-11 rajanbahaduradhikari,2000-11-11,Nisha Khadka,"Sanepa, Lalitpur, Nepal"
Sneha Joshi,13122547,HI456J,QRST5678UM,31-01-32329238,2024-05-30 04:25:46.415599,AB+,599-66155-86484/518801,"bank, esewa, voter, electricity, license",2345678902,Ramesh Bahadur Joshi,"Dhangadhi, Kailali, Nepal",Tulasa Magar,48,12122547,3256,Female,001.01.12,snehajoshi 2001-12-12 rameshbahadurjoshi,2001-12-12,Kamal Magar,"Putalisadak, Kathmandu, Nepal"
Pratik Shahi,13235698,KL789M,VWXY9012NZ,73-02-11496212,2024-05-30 04:25:46.417207,O-,371-38746-28131/634277,"bank, esewa, voter, electricity, license",3456789013,Suresh Kumar Shahi,"Itahari, Sunsari, Nepal",Ganga Yadav,31,13135698,3257,Male,001.01.13,pratikshahi 1989-01-13 sureshkumarshahi,1989-01-13,Sita Yadav,"Tinkune, Kathmandu, Nepal"
Anju Bhattarai,14247652,NO012P,ABCD3456OP,94-08-09289547,2024-05-30 04:25:46.418832,AB-,506-21915-16175/214975,"bank, esewa, voter, electricity, license",4567890124,Dinesh Raj Bhattarai,"Bhaktapur, Bhaktapur, Nepal",Sunita Bista,29,14147652,3258,Female,001.01.14,anjubhattarai 1988-02-14 dineshrajbhattarai,1988-02-14,Mina Bista,"Sinamangal, Kathmandu, Nepal"
Manish Maharjan,15158964,QR345S,EFGH7890QR,,2024-05-30 04:25:46.380719,,,"bank, esewa, voter, electricity",5678901235,Bijay Bahadur Maharjan,"Kirtipur, Kathmandu, Nepal",Gita Dhakal,44,15158963,3259,Male,001.01.15,manishmaharjan 1987-03-15 bijaybahadurmaharjan,1987-03-15,Ram Dhakal,"Thamel, Kathmandu, Nepal"
Puja KC,16169853,TU678V,STUV1234WX,17-11-63791321,2024-05-30 04:25:46.421398,AB-,697-65333-88172/166613,"bank, esewa, voter, electricity, license",6789012346,Ramesh Bahadur KC,"Lalitpur, Lalitpur, Nepal",Laxmi Pant,53,16169852,3260,Female,001.01.16,pujakc 1986-04-16 rameshbahadurkc,1986-04-16,Radha Pant,"Jawalakhel, Lalitpur, Nepal"
Anil Khadka,17375246,WX901Y,YZAB5678CD,17-11-63791321,2024-05-30 04:25:46.423001,AB-,697-65333-88172/166613,"bank, esewa, voter, electricity, license",7890123457,Rajesh Bahadur Khadka,"Ghorahi, Dang, Nepal",Sarita Joshi,37,17175246,3261,Male,001.01.17,anilkhadka 1985-05-17 rajeshbahadurkhadka,1985-05-17,Amit Joshi,"Maitighar, Kathmandu, Nepal"
Rita Rimal,18383569,ZA234B,EFGH9012EF,68-10-56792613,2024-05-30 04:25:46.424746,B-,542-42953-82512/112038,"bank, esewa, voter, electricity, license",8901234568,Ganesh Bahadur Rimal,"Tansen, Palpa, Nepal",Meena Bhattarai,28,18183569,3262,Female,001.01.18,ritarimal 1984-06-18 ganeshbahadurrimal,1984-06-18,Anita Bhattarai,"Buddhanagar, Kathmandu, Nepal"
Pratiksha Dahal,19294258,CD567E,IJKL3456GH,68-10-56792613,2024-05-30 04:25:46.426336,B-,542-42953-82512/112038,"bank, esewa, voter, electricity, license",9012345679,Santosh Bahadur Dahal,"Bidur, Nuwakot, Nepal",Manju Gurung,46,19194258,3263,Male,001.01.19,pratikshadahal 1983-07-19 santoshbahadurdahal,1983-07-19,Sanu Gurung,"Buddhanagar, Kathmandu, Nepal"
Dipesh Pokharel,20305417,FG890H,MNOP7890IJ,89-04-95690392,2024-05-30 04:25:46.428023,A-,769-44973-94012/456699,"bank, esewa, voter, electricity, license",123456790,Shyam Sundar Pokharel,"Damak, Jhapa, Nepal",Rita Lama,40,20205417,3264,Female,001.01.20,dipeshpokharel 1982-08-20 shyamsundarpokharel,1982-08-20,Hari Lama,"Gaushala, Kathmandu, Nepal"
Krishna Rai,,,,26-03-50185868,2024-05-30 04:25:43.901228,AB+,068-37653-84341/852787,license,7890123456,,"Hetauda, Makwanpur, Nepal",,,,,,,krishnarai  ,,,"Kumaripati, Lalitpur, Nepal"
Manish Maharjan,,,,98-09-16879291,2024-05-30 04:25:43.901228,B+,157-92240-30969/930555,license,5678901235,,"Kirtipur, Kathmandu, Nepal",,,,,,,manishmaharjan  ,,,"Thamel, Kathmandu, Nepal"
Anil Khadka,,,,71-03-35575299,2024-05-30 04:25:43.901228,AB-,395-60019-88104/590785,license,7890123457,,"Ghorahi, Dang, Nepal",,,,,,,anilkhadka  ,,,"Maitighar, Kathmandu, Nepal"
Pratiksha Dahal,,,,28-09-97969690,2024-05-30 04:25:43.901228,AB+,697-25014-99353/663054,license,9012345679,,"Bidur, Nuwakot, Nepal",,,,,,,pratikshadahal 1983-07-19 ,1983-07-19,,"Naxal, Kathmandu, Nepal"
